Wrong,Right
FRHT,FREIGHTLINER
FRIEGHTLINER,FREIGHTLINER
FROD,FORD
GILL,GILLIG
HARL,HARLEY DAVIDSON
HARLEY, HARLEY DAVIDSON
HINDA, HONDA
HIONDA,HONDA
HNDA,HONDA
HODA,HONDA
HODNA,HONDA
HOMD,HONDA
HOMDA,HONDA
HONA,HONDA
HONAD,HONDA
HOND, HONDA
HONDAY,HONDA
HONDDA,HONDA
HUDS,HUDSON
HUDS,HUDSON
HUMM,HUMMER
HUND,HYUNDAI
HUNDAI,HYUNDAI
HUNDAY,HYUNDAI
HUNDI,HYUNDAI
HUYN,HYUNDAI
HUYNDAI,HYUNDAI
HYANDAI,HYUNDAI
HYND,HYUNDAI
HYNDAI,HYUNDAI
HYUANDAI,HYUNDAI
HYUDAI,HYUNDAI
HYUN, HYUNDAI
HYUNADAI,HYUNDAI
HYUNAI,HYUNDAI
HYUND,HYUNDAI
HYUNDA,HYUNDAI
HYUNDAU,HYUNDAI
HYUNDAY,HYUNDAI
HYUNDI,HYUNDAI
HYUNDIA,HYUNDAI
HYUNDUI,HYUNDAI
INFI, INFINITI
INFIN,INFINITI
INFINI,INFINITI
INFINIT,INFINITI
INFINITE,INFINITI
INFINITY, INFINITI
INFINTI,INFINITI
INFINTY,INFINITI
INFNITY,INFINITI
INIFINITI,INFINITI
INTE,INTERNATIONAL
INTER,INTERNATIONAL
INTERNATION,INTERNATIONAL
INTL, INTERNATIONAL
ISUZ, ISUZU
ISZU,ISUZU
IZUZU,ISUZU
JAGU, JAGUAR
KAWA,KAWASAKI
KAWASKI,KAWASAKI
KAWK,KAWASAKI
KENW,KENWORTH
LAND,LAND ROVER
LANDR,LAND ROVER
LANDROVER, LAND ROVER
LANR,LAND ROVER
LARO,LAND ROVER
LEXAS,LEXUS
LEXIS,LEXUS
LEXS,LEXUS
LEXSUS,LEXUS
LEXU,LEXUS
LEXUS,LEXUS
LEXUX,LEXUS
LICOLN,LINCOLN
LINC,LINCOLN
LINCOL,LINCOLN
LINCOLIN,LINCOLN
LINCON,LINCOLN
LNDR, LAND ROVER
LUXUS,LEXUS
MADA,MAZDA
MADZ,MAZDA
MADZA,MAZDA
MASE,MASERATI
MASERATTI,MASERATI
MAST,MASERATI
MAZA,MAZDA
MAZADA,MAZDA
MAZD, MAZDA
MBENZ,MERCEDES BENZ
MEBE,MERCEDES BENZ
MECEDES,MERCEDES BENZ
MERC BENZ,MERCEDES BENZ
MERC,MERCEDES BENZ
MERCADES,MERCEDES BENZ
MERCE,MERCEDES BENZ
MERCEDEES,MERCEDES BENZ
MERCEDES, MERCEDES BENZ
MERCEDES-BENZ,MERCEDES BENZ
MERCEDEZ BENZ,MERCEDES BENZ
MERCEDEZ,MERCEDES BENZ
MERCEDS,MERCEDES BENZ
MERCRUY,MERCURY
MERCZ,MERCEDES BENZ
MERZ BENZ,MERCEDES BENZ
MERZ, MERCEDES BENZ
MERZEDES,MERCEDES BENZ
MIITS,MITSUBISHI
MINI COOPER,MINI
MINICOOPER,MINI
MINNI,MINI
MISS,MITSUBISHI
MISSAN,NISSAN
MIST,MITSUBISHI
MISTUBISHI,MITSUBISHI
MITIS,MITSUBISHI
MITISBISHI,MITSUBISHI
MITS, MITSUBISHI
MITSBISHI,MITSUBISHI
MITSIBISHI,MITSUBISHI
MITSU,MITSUBISHI
MITSUB,MITSUBISHI
MITSUBIHI,MITSUBISHI
MITSUBISH,MITSUBISHI
MITSUBISHUI,MITSUBISHI
MITSUBISSHI,MITSUBISHI
MITSUBSHI,MITSUBISHI
MITSUBUSHI,MITSUBISHI
MITTS,MITSUBISHI
MITTSUBISHI,MITSUBISHI
MITUBISHI,MITSUBISHI
MITZ,MITSUBISHI
MITZU,MITSUBISHI
MITZUBISHI,MITSUBISHI
MNNI,MINI
MREZ,MERCEDES BENZ
NIISSAN,NISSAN
NISAN,NISSAN
NISS, NISSAN
NISSA,NISSAN
NISSAM,NISSAN
'NISSAN, NISSAN
NISSANA,NISSAN
NISSIAN, NISSAN
NISSN,NISSAN
NISSON,NISSAN
NSSAN,NISSAN
OLDMOBILE,OLDSMOBILE
OLDS MOBILE,OLDSMOBILE
OLDS, OLDSMOBILE
OLSMOBILE,OLDSMOBILE
ONDA,HONDA
ORIO,ORION
PETE,PETERBILT
PETERBUILT,PETERBILT
PLYM,PLYMOUTH
PLYMOTH,PLYMOUTH
PONT,PONTIAC
PONTAIC,PONTIAC
PORCH,PORSCHE
PORCHE,PORSCHE
PORS, PORSCHE
PORSCH,PORSCHE
PORSH,PORSCHE
PORSHE,PORSCHE
RANG ROVER,RANGE ROVER
RANG,RANGE ROVER
RANGE,RANGE ROVER
RANGEROVER,RANGE ROVER
SABB,SAAB
SATR,SATURN
SATU, SATURN
SATUR,SATURN
SCIO,SCION
SION,SCION
SMAR,SMART
SMRT,SMART
STER,STERLING
STRN,STERLING
SUBA, SUBARU
SUBAR,SUBARU
SUBR,SUBARU
SUBU,SUBARU
SUBUARU,SUBARU
SUBURA,SUBARU
SUBURAU,SUBARU
SUBURU,SUBARU
SUSUKI,SUZUKI
SUZI,SUZUKI
SUZIKI,SUZUKI
SUZU, SUZUKI
TAIZHOU CITY,TAIZHOU
TAO TAO,TAOTAO
TAOT,TAOTAO
TESL,TESLA
THOM,THOMAS
TOMAS,THOMAS
TOOTA,TOYOTA
TOOYOTA,TOYOTA
TOTOTA,TOYOTA
TOTOYA,TOYOTA
TOTY,TOYOTA
TOTYOTA,TOYOTA
TOUOTA,TOYOTA
TOY0TA,TOYOTA
TOYATA,TOYOTA
TOYO, TOYOTA
TOYOA,TOYOTA
TOYOAT,TOYOTA
TOYORA,TOYOTA
TOYOT, TOYOTA
TOYOTA SCION,TOYOTA
TOYOTA/SCION,TOYOTA
TOYOTOA,TOYOTA
TOYOTSA,TOYOTA
TOYOVAL2005,TOYOTA
TOYOVAL2011,TOYOTA
TOYOYA,TOYOTA
TOYOYTA,TOYOTA
TOYPTA,TOYOTA
TOYT, TOYOTA
TOYTA, TOYOTA
TOYTOA,TOYOTA
TOYTOTA,TOYOTA
TPYOTA,TOYOTA
TYOTA,TOYOTA
Unknown,UNKNOWN
VOKS,VOLKSWAGEN
VOLK W,VOLKSWAGEN
VOLK, VOLKSWAGEN
VOLKS WAGON,VOLKSWAGEN
VOLKS,VOLKSWAGEN
VOLKSW,VOLKSWAGEN
VOLKSWAG,VOLKSWAGEN
VOLKSWAGAN,VOLKSWAGEN
VOLKSWAGGON,VOLKSWAGEN
VOLKSWAGON, VOLKSWAGEN
VOLKWAG,VOLKSWAGEN
VOLKWAGEN,VOLKSWAGEN
VOLKWAGON,VOLKSWAGEN
VOLO,VOLVO
VOLS,VOLKSWAGEN
VOLSWAGEN,VOLKSWAGEN
VOLSWAGON,VOLKSWAGEN
VOLTSWAGON,VOLKSWAGEN
VOLV,VOLVO
VOLV0,VOLVO
VOVL,VOLVO
VOVLO,VOLVO
WOLKSWAGEN,VOLKSWAGEN
XHEVY,CHEVROLET
XXXX,UNKNOWN
YAHAHA,YAMAHA
YAHAMA,YAMAHA
YAHMAHA,YAMAHA
YAMA,YAMAHA
YAMAH,YAMAHA
YAMAYA,YAMAHA
YB50,UNKNOWN
YHUNDAI,HYUNDAI
YOTOA,TOYOTA
YOTOTA,TOYOTA
YOYOTA,TOYOTA
YOYOYA,TOYOTA
YOYOYA,TOYOTA
YTOYOTA,TOYOTA
YUNDAI,HYUNDAI
ZUZU,ISUZU
